"","denovo398","denovo1453","denovo1675","denovo2860","denovo4429","denovo6218","denovo3066","denovo552","denovo291","denovo1632","denovo3923","denovo22","denovo2868","denovo6058"
"denovo398",0,0.275316455696203,0.403908794788274,0.31986531986532,0.398692810457516,0.264331210191083,0.0795107033639144,0.376984126984127,0.263492063492063,0.484210526315789,0.563380281690141,0.521235521235521,0.420529801324503,0.368055555555556
"denovo1453",0.275316455696203,0,0.345047923322684,0.35016835016835,0.378378378378378,0.0900621118012423,0.268370607028754,0.428571428571428,0.130841121495327,0.445614035087719,0.539792387543253,0.474708171206226,0.388888888888889,0.359861591695502
"denovo1675",0.403908794788274,0.345047923322684,0,0.401993355481728,0.479452054794521,0.347266881028939,0.398026315789474,0.488188976377953,0.32475884244373,0.485611510791367,0.585714285714286,0.530120481927711,0.482517482517482,0.436170212765958
"denovo2860",0.31986531986532,0.35016835016835,0.401993355481728,0,0.319298245614035,0.328813559322034,0.31864406779661,0.348936170212766,0.320945945945946,0.4106463878327,0.564393939393939,0.467479674796748,0.340501792114695,0.316363636363636
"denovo4429",0.398692810457516,0.378378378378378,0.479452054794521,0.319298245614035,0,0.374149659863946,0.415584415584416,0.390946502057613,0.370748299319728,0.466666666666667,0.554716981132075,0.493877551020408,0.394648829431438,0.378181818181818
"denovo6218",0.264331210191083,0.0900621118012423,0.347266881028939,0.328813559322034,0.374149659863946,0,0.282958199356913,0.412451361867704,0.102803738317757,0.46643109540636,0.533101045296167,0.494117647058824,0.384615384615385,0.344947735191638
"denovo3066",0.0795107033639144,0.268370607028754,0.398026315789474,0.31864406779661,0.415584415584416,0.282958199356913,0,0.388,0.273311897106109,0.471631205673759,0.557142857142857,0.532818532818533,0.421052631578947,0.37809187279152
"denovo552",0.376984126984127,0.428571428571428,0.488188976377953,0.348936170212766,0.390946502057613,0.412451361867704,0.388,0,0.424124513618677,0.419491525423729,0.576763485477178,0.473451327433628,0.392561983471074,0.441947565543071
"denovo291",0.263492063492063,0.130841121495327,0.32475884244373,0.320945945945946,0.370748299319728,0.102803738317757,0.273311897106109,0.424124513618677,0,0.46830985915493,0.56794425087108,0.482352941176471,0.381118881118881,0.364583333333333
"denovo1632",0.484210526315789,0.445614035087719,0.485611510791367,0.4106463878327,0.466666666666667,0.46643109540636,0.471631205673759,0.419491525423729,0.46830985915493,0,0.582706766917293,0.570212765957447,0.467432950191571,0.460377358490566
"denovo3923",0.563380281690141,0.539792387543253,0.585714285714286,0.564393939393939,0.554716981132075,0.533101045296167,0.557142857142857,0.576763485477178,0.56794425087108,0.582706766917293,0,0.635983263598326,0.575757575757576,0.559259259259259
"denovo22",0.521235521235521,0.474708171206226,0.530120481927711,0.467479674796748,0.493877551020408,0.494117647058824,0.532818532818533,0.473451327433628,0.482352941176471,0.570212765957447,0.635983263598326,0,0.518072289156627,0.504098360655738
"denovo2868",0.420529801324503,0.388888888888889,0.482517482517482,0.340501792114695,0.394648829431438,0.384615384615385,0.421052631578947,0.392561983471074,0.381118881118881,0.467432950191571,0.575757575757576,0.518072289156627,0,0.352272727272727
"denovo6058",0.368055555555556,0.359861591695502,0.436170212765958,0.316363636363636,0.378181818181818,0.344947735191638,0.37809187279152,0.441947565543071,0.364583333333333,0.460377358490566,0.559259259259259,0.504098360655738,0.352272727272727,0
