"","SampleID","field_season","coral_tag","frozen_sample","sds_SampleID","X","Biomass","field_season_key"
"1","KI14FQ019","before","19","no","KI14FQ019","","High","KI2014"
"2","KI14FQ037","before","62","no","KI14FQ037","","Low","KI2014"
"3","KI14FQ098","before","148","no","KI14FQ098","","High","KI2014"
"4","KI14FQ104","before","157","no","KI14FQ104","","High","KI2014"
"5","KI14FQ107","before","161","no","KI14FQ107","","High","KI2014"
"6","KI14FQ109","before","164","no","KI14FQ109","","Low","KI2014"
"7","KI14FQ148","before","223","no","KI14FQ148","","High","KI2014"
"8","KI14FQ157","before","234","no","KI14FQ157","","High","KI2014"
"9","KI14FQ164","before","242","no","KI14FQ164","","High","KI2014"
"10","KI14FQ171","before","248","no","KI14FQ171","","Low","KI2014"
"11","KI14FQ176","before","258","no","KI14FQ176","","High","KI2014"
"12","KI14FQ183","before","266","no","KI14FQ183","","High","KI2014"
"13","KI14FQ192","before","278","no","KI14FQ192","","Low","KI2014"
"14","KI14FQ201","before","289","no","KI14FQ201","","High","KI2014"
"15","KI14FQ211","before","306","no","KI14FQ211","","High","KI2014"
"16","KI14FQ214","before","311","no","KI14FQ214","","High","KI2014"
"17","KI14FQ221","before","328","no","KI14FQ221","","High","KI2014"
"18","KI14FQ229","before","338","no","KI14FQ229","","Low","KI2014"
"19","KI14FQ241","before","351","no","KI14FQ241","","High","KI2014"
"20","KI14FQ243","before","353","no","KI14FQ243","","High","KI2014"
"21","KI14FQ248","before","371","no","KI14FQ248","","High","KI2014"
"22","KI14FQ254","before","379","no","KI14FQ254","","Low","KI2014"
"23","KI14FQ266","before","402","no","KI14FQ266","","High","KI2014"
"24","KI14FQ271","before","410","no","KI14FQ271","","Low","KI2014"
"25","KI14FQ277","before","389","no","KI14FQ277","","High","KI2014"
"26","KI14FQ284","before","442","no","KI14FQ284","","High","KI2014"
"27","KI14FQ286","before","447","no","KI14FQ286","","High","KI2014"
"28","KI14FQ292","before","455","no","KI14FQ292","","High","KI2014"
"29","KI14FQ297","before","461","no","KI14FQ297","","High","KI2014"
"30","KI14FQ300","before","466","no","KI14FQ300","","Low","KI2014"
"31","KI14FQ301","before","470","no","KI14FQ301","","High","KI2014"
"32","KI14FQ305","before","479","no","KI14FQ305","","High","KI2014"
"33","KI14FQ310","before","486","no","KI14FQ310","","High","KI2014"
"35","KI15aFQ043","before","594","no","KI15aFQ043","","Low","KI2015a_Pre"
"36","KI15aFQ052","before","612","no","KI15aFQ052","","Low","KI2015a_Pre"
"37","KI15aFQ067","before","618","no","KI15aFQ067","","Low","KI2015a_Pre"
"38","KI15aFQ097","before","637","no","KI15aFQ097","","High","KI2015a_Post"
"39","KI15aFQ103","before","99","no","KI15aFQ103","","High","KI2015a_Post"
"40","KI15aFQ113","before","253","no","KI15aFQ113","","High","KI2015a_Post"
"41","KI15aFQ116","before","62","no","KI15aFQ116","","High","KI2015a_Post"
"42","KI15aFQ150","before","470","no","KI15aFQ150","","High","KI2015a_Post"
"43","KI15aFQ156","before","466","no","KI15aFQ156","","High","KI2015a_Post"
"44","KI15aFQ160","before","455","no","KI15aFQ160","","High","KI2015a_Post"
"47","KI15bFQ069","before","442","no","KI15bFQ069","","High","KI2015b"
"51","KI15bFQ164","before","253","no","KI15bFQ164","","Low","KI2015b"
"52","KI15bFQ167","before","62","no","KI15bFQ167","","High","KI2015b"
"55","KI15bFQ213","before","735","no","KI15bFQ213","","High","KI2015b"
"59","KI15bFQ243","before","766","no","KI15bFQ243","","High","KI2015b"
"63","KI15bFQ279","before","783","no","KI15bFQ279","","High","KI2015b"
"64","KI15bFQ284","before","788","no","KI15bFQ284","","High","KI2015b"
