"","denovo1087","denovo3610","denovo3946","denovo4157","denovo1566","denovo231","denovo2699","denovo2673","denovo3290","denovo4010","denovo233"
"denovo1087",0,0.363309352517986,0.376205787781351,0.347826086956522,0.345637583892617,0.343971631205674,0.2,0.344370860927152,0.366101694915254,0.33445945945946,0.3690036900369
"denovo3610",0.363309352517986,0,0.397003745318352,0.4106463878327,0.397111913357401,0.401544401544401,0.353571428571429,0.346863468634686,0.402930402930403,0.368421052631579,0.433734939759036
"denovo3946",0.376205787781351,0.397003745318352,0,0.454873646209386,0.389655172413793,0.465277777777778,0.381703470031546,0.406040268456376,0.375,0.296666666666667,0.487084870848709
"denovo4157",0.347826086956522,0.4106463878327,0.454873646209386,0,0.401459854014599,0.4,0.380434782608696,0.367816091954023,0.401486988847584,0.424354243542435,0.429133858267716
"denovo1566",0.345637583892617,0.397111913357401,0.389655172413793,0.401459854014599,0,0.407142857142857,0.346801346801347,0.365591397849462,0.326315789473684,0.373665480427046,0.416988416988417
"denovo231",0.343971631205674,0.401544401544401,0.465277777777778,0.4,0.407142857142857,0,0.367132867132867,0.394736842105263,0.358208955223881,0.4,0.3984375
"denovo2699",0.2,0.353571428571429,0.381703470031546,0.380434782608696,0.346801346801347,0.367132867132867,0,0.325581395348837,0.338983050847458,0.333333333333333,0.354014598540146
"denovo2673",0.344370860927152,0.346863468634686,0.406040268456376,0.367816091954023,0.365591397849462,0.394736842105263,0.325581395348837,0,0.357894736842105,0.363636363636364,0.458955223880597
"denovo3290",0.366101694915254,0.402930402930403,0.375,0.401486988847584,0.326315789473684,0.358208955223881,0.338983050847458,0.357894736842105,0,0.362676056338028,0.415094339622642
"denovo4010",0.33445945945946,0.368421052631579,0.296666666666667,0.424354243542435,0.373665480427046,0.4,0.333333333333333,0.363636363636364,0.362676056338028,0,0.47148288973384
"denovo233",0.3690036900369,0.433734939759036,0.487084870848709,0.429133858267716,0.416988416988417,0.3984375,0.354014598540146,0.458955223880597,0.415094339622642,0.47148288973384,0
